Label,String,Translation
ItemName_PNL_MUC_R,"Red Snifit", 
ItemName_KEY_B3_CAGE,"Birdcage ", 
ItemName_PNL_PICO_HAMMERX3,"Eekhammer x3", 
ItemName_PNL_SMALL_HAMMERX3,"Worn-Out Hammer x3", 
ItemName_PNL_BBRS,"Boomerang Bro", 
ItemName_PNL_BIG_PICO_HAMMERX2,"Big Eekhammer x2", 
ItemName_PNL_BIG_ROLLING_HAMMER,"Big KO Hammer", 
ItemName_PNL_SMALL_HAMMERX5,"Worn-Out Hammer x5", 
ItemName_PNL_TMET,"Spike Top", 
ItemName_PNL_MTN,"Morton", 
ItemName_PNL_KANADUCHI,"Claw Hammer", 
ItemName_PNL_RLG_HEI_G,"Green Roller Guy", 
ItemName_PNL_LINE_JUMP,"Line Jump", 
ItemName_PNL_FROG,"Frog Suit", 
ItemName_PNL_MUC_Y,"Yellow Snifit", 
ItemName_PNL_TOGE_MUC_P,"Pink Spike Snifit", 
ItemName_PNL_SMPL_WASHER,"Washing Machine Replica", 
ItemName_KEY_G2_STAR_PIECE_1,"Paint Star Piece 1", 
ItemName_PNL_IRON_JUMP,"Iron Jump", 
ItemName_KEY_G2_STAR_PIECE_2,"Paint Star Piece 2", 
ItemName_PNL_BIG_LINE_JUMP,"Big Line Jump", 
ItemName_PNL_TOGE_MUC_R,"Red Spike Snifit", 
ItemName_PNL_JHBRS,"Juggler Bro", 
ItemName_KEY_G2_STAR_PIECE_3,"Paint Star Piece 3", 
ItemName_PNL_BIG_IRON_JUMP,"Big Iron Jump", 
ItemName_PNL_HEI_B,"Blue Shy Guy", 
ItemName_PNL_PKF,"Fire Piranha Plant", 
ItemName_PNL_SALT_AND_PEPPER,"Salt and Pepper", 
ItemName_KEY_G2_STAR_PIECE_4,"Paint Star Piece 4", 
ItemName_KEY_Y3_TOGEZO_STING,"Sharp Spike", 
ItemName_PNL_HAMMER,"Hammer", 
ItemName_PNL_PIGGY_BANK,"Piggy Bank", 
ItemName_KEY_G2_STAR_PIECE_5,"Paint Star Piece 5", 
ItemName_KEY_R2_KINOPIO_SHOES,"Toad's Shoes", 
ItemName_PNL_BALLOON,"Balloons", 
ItemName_LETTER_ANNOUNCE_01,"Fire Flower Training!", 
ItemName_PNL_SUPERBIG_THROW_HAMMER,"Huge Hurlhammer", 
ItemName_PNL_BIG_KINOKO,"Big Mushroom", 
ItemName_LETTER_ANNOUNCE_02,"From Ruddy Road Café", 
ItemName_PNL_PICO_HAMMER,"Eekhammer", 
ItemName_PNL_SUPERBIG_KINOKO,"Mega Mushroom", 
ItemName_PNL_IRON_JUMPX2,"Iron Jump x2", 
ItemName_PNL_1UP_KINOKO,"1-Up Mushroom", 
ItemName_PNL_HEI_G,"Green Shy Guy", 
ItemName_PNL_RLG_HEI_P,"Pink Roller Guy", 
ItemName_LETTER_ANNOUNCE_04,"Thank You", 
ItemName_PNL_IRON_JUMPX3,"Iron Jump x3", 
ItemName_PNL_TOGE_MUC_Y,"Yellow Spike Snifit", 
ItemName_LETTER_ANNOUNCE_05,"I Ain't Done Yet!", 
ItemName_PNL_RLG_HEI_R,"Red Roller Guy", 
ItemName_PNL_HAMMERX2,"Hammer x2", 
ItemName_PNL_TRS,"Boo", 
ItemName_PNL_COMPASS,"Compass", 
ItemName_PNL_JANKEN_PAPER,"Paper", 
ItemName_KEY_Y4_CARD_KEY,"Snifit's Card Key", 
ItemName_LETTER_ANNOUNCE_07,"A Modest Request", 
ItemName_PNL_BIG_SPRING_JUMP,"Big Hopslipper", 
ItemName_PNL_HAMMERX3,"Hammer x3", 
ItemName_PNL_TOGE_HEI_B,"Blue Spike Guy", 
ItemName_PNL_IBRS,"Ice Bro", 
ItemName_PNL_BULB,"Lightbulb", 
ItemName_LETTER_ANNOUNCE_08,"Purple Flower Teapot", 
ItemName_PNL_BSA,"Swoop", 
ItemName_PNL_SNB,"Pokey", 
ItemName_PNL_LIT,"Dino Rhino", 
ItemName_PNL_PLUNGER,"Plunger", 
ItemName_PNL_ICE_PICK,"Ice Pick", 
ItemName_KEY_B3_SHEET,"Fresh Sheets", 
ItemName_PNL_ROLLING_HAMMER,"KO Hammer", 
ItemName_PNL_HEI_P,"Pink Shy Guy", 
ItemName_PNL_TOGE_HEI_G,"Green Spike Guy", 
ItemName_PNL_TEAPOT,"Teapot", 
ItemName_PNL_HEI_R,"Red Shy Guy", 
ItemName_KEY_R2_KINOPIO_PANTS,"Toad's Pants", 
ItemName_PNL_SMPL_ICE_PICK,"Ice Pick Replica", 
ItemName_PNL_SMPL_EXTINGUISHER,"Fire Extinguisher Replica", 
ItemName_PNL_SMPL_OPENER,"Bottle Opener Replica", 
ItemName_PNL_THROW_HAMMERX2,"Hurlhammer x2", 
ItemName_PNL_SMPL_COMPASS,"Compass Replica", 
ItemName_PNL_THROW_HAMMERX3,"Hurlhammer x3", 
ItemName_PNL_SMPL_WASHER_EU,"Washing Machine Replica", 
ItemName_PNL_SUPERBIG_JUMP,"Huge Jump", 
ItemName_PNL_LDW,"Ludwig", 
ItemName_PNL_SUPERBIG_ROLLING_HAMMER,"Huge KO Hammer", 
ItemName_PNL_POW_BLOCK,"POW Block", 
ItemName_PNL_HEI_Y,"Yellow Shy Guy", 
ItemName_PNL_TOGE_HEI_P,"Pink Spike Guy", 
ItemName_PNL_TURNIP,"Turnip", 
ItemName_PNL_TOGE_HAT,"Spike Helmet", 
ItemName_PNL_HKUR,"Bone Goomba", 
ItemName_PNL_MET,"Buzzy Beetle", 
ItemName_PNL_MBRS,"Sledge Bro", 
ItemName_PNL_TOGE_HEI_R,"Red Spike Guy", 
ItemName_PNL_DHEI,"The Shy Bandit", 
ItemName_KEY_V2_SEA_MEMO_Dummy,"Sea Journal", 
ItemName_PNL_BIG_JUMPX2,"Big Jump x2", 
ItemName_PNL_STMUC_B,"Blue Slurp Snifit", 
ItemName_PNL_BBL,"Lava Bubble", 
ItemName_KEY_R2_KINOPIO_BOOK,"Hero's Journal", 
ItemName_PNL_JUMPX2,"Jump x2", 
ItemName_PNL_PAT,"Koopa Paratroopa", 
ItemName_PNL_JUMPX3,"Jump x3", 
ItemName_PNL_HBRS,"Hammer Bro", 
ItemName_KEY_B3_FAVORITE_BOOK,"Tea Recipe Book", 
ItemName_PNL_BIG_PICO_HAMMER,"Big Eekhammer", 
ItemName_PNL_TOGE_HEI_Y,"Yellow Spike Guy", 
ItemName_PNL_FPK,"Ptooie", 
ItemName_PNL_JANKEN_SCISSOR,"Scissors ", 
ItemName_PNL_WASHER,"Washing Machine", 
ItemName_PNL_SMPL_PAINKY,"Huey Replica", 
ItemName_PNL_DRYER,"Hair Dryer", 
ItemName_KEY_B3_SOMETHING,"""It""", 
ItemName_PNL_CHU,"Scaredy Rat", 
ItemName_PNL_LOUPE,"Magnifying Glass", 
ItemName_PNL_SMPL_KANADUCHI,"Claw Hammer Replica", 
ItemName_PNL_BIG_JUMP,"Big Jump", 
ItemName_PNL_SHEI_R,"Sombrero Guy", 
ItemName_PNL_HKN,"Ninji", 
ItemName_PNL_WDY,"Wendy", 
ItemName_PNL_PAINKY,"Huey", 
ItemName_KEY_B2_BEACH_KEY,"Blissful Beach Key", 
ItemName_PNL_KINOKO,"Mushroom", 
ItemName_PNL_FBRS,"Fire Bro", 
ItemName_PNL_SMPL_FAN,"Fan Replica", 
ItemName_KEY_Y4_CAFE_KEY,"Café Key", 
ItemName_PNL_SMALL_JUMP,"Worn-Out Jump", 
ItemName_PNL_SMPL_LEMON,"Lemon Replica", 
ItemName_PNL_SMPL_INSTANT_CAMERA,"Instant Camera Replica", 
ItemName_PNL_BIG_THROW_HAMMER,"Big Hurlhammer", 
ItemName_PNL_LAR,"Larry", 
ItemName_KEY_Y3_PROFESSOR_PERMIT,"Excavation Site Permit", 
ItemName_PNL_STMUC_R,"Red Slurp Snifit", 
ItemName_PNL_POO,"Rocky Wrench", 
ItemName_PNL_JUMP,"Jump", 
ItemName_PNL_SUPERBIG_SPRING_JUMP,"Huge Hopslipper", 
ItemName_PNL_GES,"Blooper", 
ItemName_PNL_BATTERY,"Battery", 
