"Label","String","Translation",""
"ItemName_PNL_BBL","Lava Bubble","Lava Bubble",""
"ItemName_KEY_R2_KINOPIO_BOOK","Hero's Journal","Hero's Journal",""
"ItemName_PNL_JUMPX2","Jump x2","Jump x2",""
"ItemName_PNL_PAT","Koopa Paratroopa","Koopa Paratroopa",""
"ItemName_PNL_JUMPX3","Jump x3","Jump x3",""
"ItemName_PNL_HBRS","Hammer Bro","Hammer Bro",""
"ItemName_KEY_B3_FAVORITE_BOOK","Tea Recipe Book","Tea Recipe Book",""
"ItemName_PNL_BIG_PICO_HAMMER","Big Eekhammer","Big Eekhammer",""
"ItemName_PNL_TOGE_HEI_Y","Yellow Spike Guy","Yellow Spike Guy",""
"ItemName_PNL_FPK","Ptooie","Ptooie",""
"ItemName_PNL_JANKEN_SCISSOR","Scissors ","Scissors ",""
"ItemName_PNL_WASHER","Washing Machine","Washing Machine",""
"ItemName_PNL_SMPL_PAINKY","Huey Replica","Huey Replica",""
"ItemName_PNL_DRYER","Hair Dryer","Hair Dryer",""
"ItemName_KEY_B3_SOMETHING","""It""","""It""",""
"ItemName_PNL_CHU","Scaredy Rat","Scaredy Rat",""
"ItemName_PNL_LOUPE","Magnifying Glass","Magnifying Glass",""
"ItemName_PNL_SMPL_KANADUCHI","Claw Hammer Replica","Claw Hammer Replica",""
"ItemName_PNL_BIG_JUMP","Big Jump","Big Jump",""
"ItemName_PNL_SHEI_R","Sombrero Guy","Sombrero Guy",""
"ItemName_PNL_HKN","Ninji","Ninji",""
"ItemName_PNL_WDY","Wendy","Wendy",""
"ItemName_PNL_PAINKY","Huey","Huey",""
"ItemName_KEY_B2_BEACH_KEY","Blissful Beach Key","Blissful Beach Key",""
"ItemName_PNL_KINOKO","Mushroom","Mushroom",""
"ItemName_PNL_FBRS","Fire Bro","Fire Bro",""
"ItemName_PNL_SMPL_FAN","Fan Replica","Fan Replica",""
"ItemName_KEY_Y4_CAFE_KEY","Café Key","Café Key",""
"ItemName_PNL_SMALL_JUMP","Worn-Out Jump","Worn-Out Jump",""
"ItemName_PNL_SMPL_LEMON","Lemon Replica","Lemon Replica",""
"ItemName_PNL_SMPL_INSTANT_CAMERA","Instant Camera Replica","Instant Camera Replica",""
"ItemName_PNL_BIG_THROW_HAMMER","Big Hurlhammer","Big Hurlhammer",""
"ItemName_PNL_LAR","Larry","Larry",""
"ItemName_KEY_Y3_PROFESSOR_PERMIT","Excavation Site Permit","Excavation Site Permit",""
"ItemName_PNL_STMUC_R","Red Slurp Snifit","Red Slurp Snifit",""
"ItemName_PNL_POO","Rocky Wrench","Rocky Wrench",""
"ItemName_PNL_JUMP","Jump","Jump",""
"ItemName_PNL_SUPERBIG_SPRING_JUMP","Huge Hopslipper","Huge Hopslipper",""
"ItemName_PNL_GES","Blooper","Blooper",""
"ItemName_PNL_BATTERY","Battery","Battery",""
